0,874992;1,10184;0,998729;0,966137;0,935177;0,998389;0,994167;0,950609;0,969842;0,913035;0,878805;0,996519;0,975401;0,945699;0,943458;0,942791;0,941007;0,925864;0,992513;0,953985;0,909645;0,958456;0,92842;0,918574;0,93686;0,918973;0,976666;0,955057;0,900504;0,931594;0,954186;0,934821;0,96376;0,944687;0,936964;0,936308;0,993162;0,974827;0,944727;0,923107;0,948513;0,951448;0,933509;0,920452;0,955937;0,951565;0,962534;0,93555;0,927839;0,938621;0,955558;0,930059;0,954706;0,974772;0,942796;0,947908;0,956644;0,945019;0,915084;0,954149;0,94056;0,938853;0,915319;0,977136;0,950104;0,952829;0,973976;0,966427;0,94969;0,929223;0,944515;0,934527;0,992951;0,934228;0,929499;0,92955;0,940317;0,944004;0,94337;0,939315;0,929785;0,949944;0,941699;0,945805;0,941962;0,946881;0,947401;0,945455;0,950168;0,955429;0,942034;0,946842;0,936151;0,928819;0,933614;0,934019;0,931789;0,953409;0,937562;0,94144;0,954555;0,941472;0,964413;0,938111;0,92183;0,940053;0,947313;0,949541;0,961072;0,914344;0,930573;0,94581;0,941713;0,933737;0,957741;0,947571;0,948619;0,93505;0,925824;0,938447;0,950375;0,949593;0,921455;0,95943;0,963446;0,947986;0,949719;0,967628;0,945216;0,950692;0,941449;0,941239;0,946768;0,945208;0,957725;0,930938;0,951513;0,931965;0,954204;0,938829;0,93768;0,950456;0,944456;0,938268;0,95374;0,941815;0,93923;0,934699;0,946891;0,9627;0,948005;0,932991;0,929032;0,953683;0,937537;0,95981;0,951425;0,955763;0,931653;0,936427;0,946482;0,926618;0,930975;0,948504;0,938464;0,954676;0,953495;0,945815;0,945856;0,932337;0,950964;0,948703;0,942404;0,937973;0,9327;0,938253;0,929065;0,94533;0,948427;0,945521;0,963258;0,941094;0,939557;0,948333;0,952263;0,944181;0,935351;0,953517;0,940392;0,929872;0,95923;0,931027;0,943482;0,950273;0,954692;0,943326;0,949816;0,948352;0,945137;0,92946
100;600;1100;1600;2100;2600;3100;3600;4100;4600;5100;5600;6100;6600;7100;7600;8100;8600;9100;9600;10100;10600;11100;11600;12100;12600;13100;13600;14100;14600;15100;15600;16100;16600;17100;17600;18100;18600;19100;19600;20100;20600;21100;21600;22100;22600;23100;23600;24100;24600;25100;25600;26100;26600;27100;27600;28100;28600;29100;29600;30100;30600;31100;31600;32100;32600;33100;33600;34100;34600;35100;35600;36100;36600;37100;37600;38100;38600;39100;39600;40100;40600;41100;41600;42100;42600;43100;43600;44100;44600;45100;45600;46100;46600;47100;47600;48100;48600;49100;49600;50100;50600;51100;51600;52100;52600;53100;53600;54100;54600;55100;55600;56100;56600;57100;57600;58100;58600;59100;59600;60100;60600;61100;61600;62100;62600;63100;63600;64100;64600;65100;65600;66100;66600;67100;67600;68100;68600;69100;69600;70100;70600;71100;71600;72100;72600;73100;73600;74100;74600;75100;75600;76100;76600;77100;77600;78100;78600;79100;79600;80100;80600;81100;81600;82100;82600;83100;83600;84100;84600;85100;85600;86100;86600;87100;87600;88100;88600;89100;89600;90100;90600;91100;91600;92100;92600;93100;93600;94100;94600;95100;95600;96100;96600;97100;97600;98100;98600;99100;99600
5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
0,0695249;-0,157325;-0,0542113;-0,0216201;0,0093403;-0,0538714;-0,0496496;-0,00609166;-0,0253252;0,0314818;0,0657123;-0,0520017;-0,030884;-0,00118149;0,0010592;0,00172584;0,00351045;0,0186533;-0,0479954;-0,0094674;0,0348718;-0,0139387;0,016097;0,025943;0,00765681;0,0255439;-0,0321493;-0,0105397;0,044013;0,0129235;-0,00966861;0,00969642;-0,0192424;-0,00016988;0,00755344;0,00820921;-0,0486447;-0,0303099;-0,000209743;0,0214103;-0,00399568;-0,00693068;0,0110078;0,024065;-0,0114195;-0,00704763;-0,0180164;0,00896758;0,0166785;0,00589634;-0,011041;0,0144582;-0,0101891;-0,0302549;0,00172112;-0,00339107;-0,0121272;-0,000501624;0,0294337;-0,00963163;0,00395706;0,00566386;0,0291984;-0,032619;-0,00558688;-0,00831178;-0,0294587;-0,0219094;-0,00517299;0,0152945;1,98343e-06;0,00999052;-0,0484334;0,010289;0,0150181;0,0149672;0,00420036;0,000512897;0,00114676;0,00520173;0,0147319;-0,00542649;0,00281832;-0,00128772;0,00255537;-0,00236408;-0,00288353;-0,000938237;-0,00565075;-0,0109116;0,00248317;-0,00232505;0,00836618;0,0156985;0,0109032;0,0104977;0,0127283;-0,00889228;0,00695479;0,00307729;-0,0100374;0,00304552;-0,0198959;0,00640643;0,022687;0,00446427;-0,00279602;-0,00502352;-0,0165546;0,0301734;0,0139447;-0,00129277;0,00280441;0,0107799;-0,0132239;-0,0030535;-0,00410224;0,0094667;0,0186935;0,00607007;-0,005858;-0,0050756;0,0230624;-0,0149124;-0,0189293;-0,00346872;-0,00520145;-0,0231105;-0,000698903;-0,00617527;0,00306795;0,00327808;-0,00225118;-0,000690476;-0,0132074;0,0135795;-0,00699583;0,0125527;-0,00968724;0,00568851;0,00683728;-0,00593865;6,15876e-05;0,0062496;-0,009223;0,002702;0,00528703;0,00981835;-0,00237425;-0,0181828;-0,00348816;0,0115265;0,0154847;-0,00916597;0,00698047;-0,0152932;-0,00690772;-0,0112455;0,0128637;0,00808984;-0,00196491;0,0178987;0,0135418;-0,00398679;0,00605278;-0,0101589;-0,0089775;-0,00129779;-0,00133913;0,0121804;-0,00644709;-0,0041861;0,00211362;0,00654437;0,0118172;0,00626448;0,0154518;-0,000812399;-0,00390937;-0,00100394;-0,0187404;0,00342301;0,00495972;-0,00381562;-0,00774545;0,000336099;0,00916625;-0,00899999;0,00412525;0,0146452;-0,0147131;0,0134905;0,00103498;-0,00575619;-0,0101745;0,00119108;-0,00529883;-0,00383478;-0,000619623;0,0150576
1,06943;0,907399;1,0606;0,929679;0,944436;0,927342;0,900082;1,06403;0,974585;0,874992;0,928369;0,937492;0,929181;0,945699;0,940719;0,926161;0,936206;0,936038;0,90277;0,931705;0,932747;1,00248;0,923165;0,950423;0,890258;0,949837;0,972214;0,945049;0,917053;0,942248;0,929719;0,931705;0,928736;0,941759;0,979605;0,941832;0,951802;0,949215;0,946254;0,90525;0,9311;0,976461;0,972214;0,976715;0,949338;0,896071;0,934335;0,963151;0,938731;0,928741;0,963305;0,962719;0,926769;0,93603;0,937774;0,952135;0,927928;0,975953;0,925775;0,964659;0,935069;0,943619;0,950018;0,957446;0,944652;0,940005;0,938142;0,945015;0,932299;0,94271;0,955872;0,952005;0,924815;0,97301;0,965138;0,963939;0,949503;0,957353;0,953814;0,936124;0,937544;0,920969;0,930345;0,921733;0,953508;0,976093;0,956198;0,941219;0,928122;0,936682;0,94807;0,968802;0,963356;0,935286;0,937742;0,949338;0,938661;0,940607;0,927464;0,951044;0,951256;0,923987;0,928835;0,946213;0,948515;0,963342;0,942919;0,951355;0,935913;0,948175;0,96445;0,938116;0,942926;0,944559;0,93799;0,952297;0,947281;0,927419;0,921876;0,959001;0,938566;0,935475;0,936412;0,964322;0,945129;0,96041;0,960966;0,934762;0,945671;0,951595;0,955189;0,956356;0,925294;0,936157;0,934107;0,942443;0,926672;0,947412;0,94126;0,944416;0,937264;0,95321;0,94049;0,960944;0,935536;0,940744;0,944151;0,952532;0,932984;0,954881;0,949818;0,923732;0,933376;0,931218;0,926062;0,949662;0,949184;0,957247;0,93067;0,930076;0,945997;0,927945;0,944881;0,942666;0,924965;0,934078;0,938988;0,948257;0,955914;0,944518;0,943538;0,92701;0,929079;0,945495;0,946653;0,950905;0,949922;0,933808;0,944062;0,927943;0,946964;0,947855;0,932301;0,940373;0,938645;0,949536;0,954043;0,946662;0,933366;0,942102;0,944714;0,939976;0,947327;0,955909;0,954291;0,943625;0,955267;0,950127;0,936307;0,958743
100;600;1100;1600;2100;2600;3100;3600;4100;4600;5100;5600;6100;6600;7100;7600;8100;8600;9100;9600;10100;10600;11100;11600;12100;12600;13100;13600;14100;14600;15100;15600;16100;16600;17100;17600;18100;18600;19100;19600;20100;20600;21100;21600;22100;22600;23100;23600;24100;24600;25100;25600;26100;26600;27100;27600;28100;28600;29100;29600;30100;30600;31100;31600;32100;32600;33100;33600;34100;34600;35100;35600;36100;36600;37100;37600;38100;38600;39100;39600;40100;40600;41100;41600;42100;42600;43100;43600;44100;44600;45100;45600;46100;46600;47100;47600;48100;48600;49100;49600;50100;50600;51100;51600;52100;52600;53100;53600;54100;54600;55100;55600;56100;56600;57100;57600;58100;58600;59100;59600;60100;60600;61100;61600;62100;62600;63100;63600;64100;64600;65100;65600;66100;66600;67100;67600;68100;68600;69100;69600;70100;70600;71100;71600;72100;72600;73100;73600;74100;74600;75100;75600;76100;76600;77100;77600;78100;78600;79100;79600;80100;80600;81100;81600;82100;82600;83100;83600;84100;84600;85100;85600;86100;86600;87100;87600;88100;88600;89100;89600;90100;90600;91100;91600;92100;92600;93100;93600;94100;94600;95100;95600;96100;96600;97100;97600;98100;98600;99100;99600
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
-0,124918;0,0371178;-0,116079;0,0148379;8,11217e-05;0,017175;0,0444356;-0,119517;-0,0300677;0,0695249;0,0161485;0,0070255;0,015336;-0,00118149;0,00379783;0,0183558;0,0083115;0,00847898;0,0417474;0,0128125;0,0117697;-0,0579634;0,0213522;-0,00590542;0,0542588;-0,00532006;-0,0276964;-0,000531618;0,0274646;0,00226908;0,0147977;0,0128125;0,0157815;0,00275847;-0,0350875;0,00268527;-0,0072853;-0,00469781;-0,00173678;0,0392673;0,0134171;-0,0319439;-0,0276964;-0,0321974;-0,0048208;0,048446;0,010182;-0,0186334;0,00578647;0,0157766;-0,0187877;-0,0182021;0,0177481;0,00848748;0,00674363;-0,00761809;0,0165895;-0,0314357;0,0187427;-0,020142;0,00944796;0,000898108;-0,00550118;-0,0129286;-0,000135214;0,00451189;0,00637512;-0,000497577;0,0122185;0,00180718;-0,0113544;-0,00748748;0,0197024;-0,0284933;-0,020621;-0,0194223;-0,00498591;-0,0128361;-0,00929646;0,00839334;0,00697355;0,0235483;0,0141726;0,0227839;-0,00899111;-0,0315761;-0,0116808;0,00329847;0,0163949;0,00783516;-0,00355275;-0,0242851;-0,0188389;0,00923102;0,00677486;-0,0048208;0,00585608;0,00391053;0,0170531;-0,00652724;-0,00673851;0,02053;0,0156822;-0,00169535;-0,00399754;-0,0188245;0,00159816;-0,00683735;0,00860436;-0,00365816;-0,0199328;0,00640101;0,00159131;-4,15706e-05;0,00652687;-0,00777953;-0,00276357;0,0170984;0,0226416;-0,0144834;0,00595092;0,00904235;0,00810524;-0,0198051;-0,000612198;-0,0158932;-0,0164489;0,00975521;-0,00115392;-0,00707826;-0,0106715;-0,0118387;0,0192228;0,00836016;0,0104097;0,00207404;0,0178449;-0,00289504;0,00325685;0,000101077;0,00725335;-0,0086928;0,00402702;-0,0164263;0,00898072;0,00377331;0,000366117;-0,00801437;0,0115333;-0,0103634;-0,00530054;0,0207857;0,011141;0,013299;0,0184554;-0,00514506;-0,00466702;-0,0127298;0,013847;0,014441;-0,00147941;0,0165719;-0,000364141;0,00185126;0,0195525;0,0104388;0,00552966;-0,00373995;-0,0113965;-9,63204e-07;0,000978751;0,017507;0,0154378;-0,000977375;-0,00213534;-0,00638762;-0,00540502;0,0107093;0,00045523;0,016574;-0,00244691;-0,00333742;0,0122166;0,00414465;0,00587188;-0,00501843;-0,00952614;-0,00214464;0,0111508;0,00241549;-0,000196362;0,00454122;-0,00280936;-0,0113922;-0,00977404;0,000892248;-0,0107496;-0,00560961;0,00820976;-0,014226
0,972214;1,21527;0,945699;0,881069;1,00925;0,975953;0,953397;0,81828;0,867878;0,961646;0,945525;0,946172;0,951494;0,925076;0,991384;0,985006;0,973414;0,951865;0,90277;0,954997;0,912533;0,963959;0,94331;0,965509;0,959358;0,946751;0,958855;0,952912;0,93498;0,948907;0,965131;1,01459;0,905185;0,952886;0,923319;0,967794;0,932466;0,943465;0,952362;0,915666;0,924812;0,943425;0,933509;0,95691;0,966055;0,902524;0,92718;0,960267;0,93389;0,950082;0,981897;0,951706;0,935709;0,944071;0,942079;0,917967;0,946957;0,919524;0,943482;0,951521;0,944759;0,940124;0,928761;0,96083;0,95707;0,93583;0,924925;0,920709;0,963375;0,94271;0,948393;0,93125;0,9267;0,947775;0,926354;0,962129;0,934193;0,950049;0,97097;0,970495;0,954515;0,928871;0,91899;0,943234;0,951199;0,952359;0,924167;0,920258;0,938043;0,947363;0,926729;0,954518;0,938682;0,956358;0,94476;0,930139;0,936438;0,931605;0,939344;0,95026;0,939418;0,945507;0,924649;0,938299;0,93228;0,933953;0,936511;0,937751;0,934295;0,935889;0,942041;0,944936;0,930795;0,979256;0,962679;0,911788;0,935735;0,943678;0,945071;0,950029;0,930963;0,936437;0,942458;0,927391;0,940902;0,953422;0,940012;0,936902;0,938391;0,955358;0,941001;0,939461;0,942503;0,954258;0,962651;0,943306;0,941662;0,949963;0,932115;0,94735;0,944476;0,935308;0,921483;0,939897;0,964932;0,953734;0,942688;0,943549;0,923013;0,938069;0,97312;0,918073;0,968509;0,942006;0,937537;0,940892;0,968479;0,935601;0,95304;0,92116;0,937864;0,939887;0,932174;0,948623;0,94107;0,93196;0,935361;0,948025;0,936955;0,960147;0,937141;0,931213;0,926256;0,927757;0,933035;0,935145;0,9337;0,937978;0,947445;0,935322;0,937576;0,937768;0,946921;0,946104;0,944979;0,948486;0,954983;0,95092;0,946074;0,945699;0,944816;0,951569;0,950766;0,948261;0,931663;0,947311;0,9516;0,940858;0,95946;0,969383
100;600;1100;1600;2100;2600;3100;3600;4100;4600;5100;5600;6100;6600;7100;7600;8100;8600;9100;9600;10100;10600;11100;11600;12100;12600;13100;13600;14100;14600;15100;15600;16100;16600;17100;17600;18100;18600;19100;19600;20100;20600;21100;21600;22100;22600;23100;23600;24100;24600;25100;25600;26100;26600;27100;27600;28100;28600;29100;29600;30100;30600;31100;31600;32100;32600;33100;33600;34100;34600;35100;35600;36100;36600;37100;37600;38100;38600;39100;39600;40100;40600;41100;41600;42100;42600;43100;43600;44100;44600;45100;45600;46100;46600;47100;47600;48100;48600;49100;49600;50100;50600;51100;51600;52100;52600;53100;53600;54100;54600;55100;55600;56100;56600;57100;57600;58100;58600;59100;59600;60100;60600;61100;61600;62100;62600;63100;63600;64100;64600;65100;65600;66100;66600;67100;67600;68100;68600;69100;69600;70100;70600;71100;71600;72100;72600;73100;73600;74100;74600;75100;75600;76100;76600;77100;77600;78100;78600;79100;79600;80100;80600;81100;81600;82100;82600;83100;83600;84100;84600;85100;85600;86100;86600;87100;87600;88100;88600;89100;89600;90100;90600;91100;91600;92100;92600;93100;93600;94100;94600;95100;95600;96100;96600;97100;97600;98100;98600;99100;99600
